alpha,round,truncated,gain,phi_min,phi_max
1.0,24,0,0.023625843780135103,-0.026364513018322076,0.02136933461909353
1.0,25,0,-0.017357762777241992,-0.03019768563162971,0.01648505303760849
1.0,26,0,-0.0380906460945033,-0.03453953712632598,0.022374638379942167
1.0,27,0,0.012536162005785889,-0.026282545805207322,0.013833172613307607
1.0,28,0,-0.016393442622950838,-0.03527965284474444,0.01633558341369335
1.0,29,0,-0.018322082931533257,-0.029971070395371276,0.019722757955641258
1.0,30,1,0.0019286403085824189,0.0,0.0
1.0,31,1,0.0009643201542912649,0.0,0.0
1.0,32,0,0.0077145612343297865,-0.024816779170684675,0.01177434908389585
1.0,33,0,-0.00867888138862094,-0.025754580520732907,0.01765670202507232
1.0,34,0,-0.0038572806171649487,-0.022839922854387677,0.010769045323047245
1.0,35,1,0.0024108003857281624,0.0,0.0
1.0,36,1,0.00048216007714552145,0.0,0.0
1.0,37,1,0.0014464802314368974,0.0,0.0
1.0,38,1,-0.0019286403085824189,0.0,0.0
1.0,39,0,0.0067502410800385215,-0.019170684667309548,0.009918032786885241
1.0,40,0,-0.0067502410800386325,-0.018517357762777246,0.00836547733847637
1.0,41,0,-0.005303760848601735,-0.019811957569913198,0.009404532304725174
1.0,42,0,0.008196721311475419,-0.017070877531340404,0.010626808100289301
1.0,43,0,-0.005785920925747368,-0.018404050144648014,0.011793635486981681
1.0,44,1,-0.00048216007714563247,0.0,0.0
1.0,45,0,-0.004821600771456103,-0.01983365477338476,0.008770491803278697
1.0,46,0,0.006268081002893,-0.013953712632594022,0.0065549662487945975
1.0,47,0,0.005303760848601735,-0.013681292189006761,0.00835824493731919
1.0,48,0,-0.01060752169720347,-0.017726615236258427,0.009725168756027011
1.0,49,1,0.0019286403085824189,0.0,0.0
1.0,50,1,0.00048216007714563247,0.0,0.0
